abis;habis
tahu;tahu
udah;sudah
udh;sudah
makasih;terima kasih
mkasih;terima kasih
gaje;tidak jelas
mager;malas
gmn;bagaimana
gmna;bagaimana
gimana;bagaimana
bgmn;bagaimana
bgmna;bagaimana
bener;benar
pinter;pintar
males;malas
seger;segar
kalo;kalau
klo;kalau
pake;pakai
sampe;sampai
ampe;sampai
ngga;tidak
ga;tidak
gak;tidak
gk;tidak
engga;tidak
enggak;tidak
tdk;tidak
bokap;ayah
nyokap;ibu
aq;saya
aqu;saya
aquh;saya
akyu;saya
akoh;saya
aqoh;saya
gw;saya
gwe;saya
gue;saya
gua;saya
kmu;kamu
elo;kamu
Elu;kamu
lu;kamu
loe;kamu
smg;semoga
smoga;semoga
aja;saja
rame;ramai
utk;untuk
kpd;kepada
krna;karena
drpd;daripada
yg;yang
bwt;buat
skli;sekali
lbh;lebih
kasi;kasih
jdi;jadi
tpi;tapi
tp;tapi
dlm;dalam
hri;hari
dri;daripada
rmh;rumah
emg;memang
emgnya;memangnya
skrg;sekarang
skg;sekarang
skrng;sekarang
dech;deh
nich;ini
tuch;itu
ajib;enak
baper;bawa perasaan
dimari;disini
doang;saja
doank;saja
ciyus;serius
msih;masih
msh;masih
lg;lagi
lagi;lagi
ngitung;menghitung
mngkin;mungkin
mikirin;memikirkan
nanyain;menanyakan
diajarin;diajari
dipukulin;dipukuli
ngomong;bicara
ngemeng;bicara
beud;sekali
banget;sekali
bnget;sekali
galau;silema
jijay;jijik
jomblo;lajang
kaca;keren
rempong;repot
tajir;kaya
yoa;iya
yoi;iya
maho;homo
miapa;demi apa
pdkt;pendekatan
telmi;telat mikir
bego;bodoh
pengen;ingin
keleus;barangkali
blm;belum
blum;belum
belom;belum
blom;belum
petjah;asyik
hacep;asyik
kyk;seperti
kayaknya;sepertinya
edan;gila
sdikit;sedikit
sdkit;sedikit
kepo;ingin tahu
ababil;abg labil
abg;remaja
lebay;berlebihan
alay;berlebihan
guys;teman-teman
takis;ayo
